%time,field.data
1621612874758996945,0.0015443408391
1621612874760018141,-0.00404770556295
1621612874760961872,0.00122774902911
1621612874761978901,-0.000194769984474
1621612874762987318,-0.00191855785614
1621612874763973397,-0.000480732979424
1621612874765026115,0.00214480405369
1621612874766029163,0.000998624517856
1621612874767010552,-0.0015168504871
1621612874767977605,0.0029397679947
1621612874768969479,-0.00264389641991
1621612874771652082,0.000725839624072
1621612874771970787,0.000132920648599
1621612874772953915,0.00344748023251
1621612874773975899,-0.00429067220409
1621612874774957047,0.00226597441644
1621612874775947095,-9.74351521688e-06
1621612874776966157,-0.00196969635213
1621612874777959013,-0.000700454107161
1621612874778971591,0.0012705418132
1621612874779959099,0.00111570570094
1621612874780946396,-0.00073784128185
1621612874781993035,-0.000173313605245
1621612874782961479,0.00143976249745
1621612874783971169,0.000883071862523
1621612874784968634,0.00041851406607
1621612874786101920,-0.00176249236794
1621612874787023416,-6.48532704206e-05
1621612874787959090,-0.000814970666951
1621612874788982813,-0.000352025597561
1621612874789991041,0.00031952290358
1621612874790960211,0.00378988098038
1621612874791950140,-0.00185416427856
1621612874792959271,-6.06552691407e-05
1621612874794000444,-0.00309373820073
1621612874795118588,0.00517711176862
1621612874796120938,-0.000996733173331
1621612874796981421,0.00452724443911
1621612874798011312,-0.000870934469654
1621612874799003288,-0.00272286683978
1621612874800020962,0.00187249216643
1621612874800979725,0.000290836535966
1621612874801993499,-0.000879313275193
1621612874802991660,-0.00021716995835
1621612874803964878,0.000996142362153
1621612874805051563,0.00103766450388
1621612874806095896,-0.00138225614155
1621612874807088968,0.00154006085729
1621612874808001866,-0.00205293462407
1621612874808956374,0.000781347961443
1621612874809995088,-0.00030409108065
1621612874811000776,-0.00124837718374
1621612874812018418,0.000495411944579
1621612874812977972,0.00105730024846
1621612874814024060,-0.000100934808955
1621612874815078694,-0.00269782657825
1621612874816052089,-0.00123190949408
1621612874816999722,0.00320989717828
1621612874817993235,-0.00229184247891
1621612874818983561,-0.000369072220119
1621612874820110858,0.00201313259063
1621612874821038211,-0.00435605946936
1621612874821980602,0.00394553731053
1621612874822973509,0.000395800174302
1621612874824023826,-0.00351344530536
1621612874825044151,0.00411067052486
1621612874825988352,-0.00419223608805
1621612874826964356,0.002183310994
1621612874828016642,0.00297362800739
1621612874829018780,-0.00181232579299
1621612874830038704,-0.00025836491313
1621612874831017674,0.00233549032791
1621612874832041033,-0.000297016523376
1621612874833008920,-0.00311265391073
1621612874834053516,0.00165644302086
1621612874835030943,-0.000700845927293
1621612874835965186,0.00197611879083
1621612874836981563,-0.00253360940083
1621612874837977008,0.0011676840066
1621612874839014328,-0.00229615004232
1621612874840010876,0.00398128811641
